dataset; method; num_of_feat; num_of_elems; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix; scores; time
ecoli-0_vs_1.dat; NO SELECTION; 7; 220; 0.9545454545454546; 0.9671052631578947; 1.0; 0.9342105263157895; 0.9659863945578232; (0.9342105263157895,0.0,1.0); [[71,0],[5,34]]; ['all']; 0
ecoli-0_vs_1.dat; ANOVA; 4; 220; 0.9545454545454546; 0.9671052631578947; 1.0; 0.9342105263157895; 0.9659863945578232; (0.9342105263157895,0.0,1.0); [[71,0],[5,34]]; [1,4,5,6]; 0.0009267330169677734
ecoli-0_vs_1.dat; RELIEF; 4; 220; 0.9727272727272728; 0.9797297297297297; 1.0; 0.9594594594594594; 0.9793103448275862; (0.9594594594594594,0.0,1.0); [[71,0],[3,36]]; [0,1,5,6]; 0.07329249382019043
ecoli-0_vs_1.dat; INFORATION GAIN; 4; 220; 0.9545454545454546; 0.9671052631578947; 1.0; 0.9342105263157895; 0.9659863945578232; (0.9342105263157895,0.0,1.0); [[71,0],[5,34]]; [0,4,5,6]; 0.020053625106811523
ecoli-0_vs_1.dat; CHI SQUARE; 4; 220; 0.9636363636363636; 0.9733333333333334; 1.0; 0.9466666666666667; 0.9726027397260273; (0.9466666666666667,0.0,1.0); [[71,0],[4,35]]; [1,2,5,6]; 0.001173257827758789
ecoli-0_vs_1.dat; CORRELATION COEF; 4; 220; 0.9545454545454546; 0.9671052631578947; 1.0; 0.9342105263157895; 0.9659863945578232; (0.9342105263157895,0.0,1.0); [[71,0],[5,34]]; [1,4,5,6]; 0.001354217529296875
ecoli1.dat; NO SELECTION; 7; 336; 0.8690476190476191; 0.857062937062937; 0.5384615384615384; 0.84; 0.6562499999999999; (0.84,0.1258741258741259,0.8741258741258742); [[21,18],[4,125]]; ['all']; 0
ecoli1.dat; ANOVA; 4; 336; 0.875; 0.8632177681473456; 0.5641025641025641; 0.8461538461538461; 0.676923076923077; (0.8461538461538461,0.11971830985915492,0.8802816901408451); [[22,17],[4,125]]; [0,4,5,6]; 0.0006310939788818359
ecoli1.dat; RELIEF; 4; 336; 0.8809523809523809; 0.8691883372734437; 0.5897435897435898; 0.8518518518518519; 0.6969696969696971; (0.8518518518518519,0.11347517730496454,0.8865248226950354); [[23,16],[4,125]]; [0,1,5,6]; 0.13999271392822266
ecoli1.dat; INFORATION GAIN; 4; 336; 0.8392857142857143; 0.7738095238095238; 0.6923076923076923; 0.6428571428571429; 0.6666666666666666; (0.6428571428571429,0.09523809523809523,0.9047619047619048); [[27,12],[15,114]]; [3,4,5,6]; 0.024154186248779297
ecoli1.dat; CHI SQUARE; 4; 336; 0.8392857142857143; 0.7775198938992043; 0.8205128205128205; 0.6153846153846154; 0.7032967032967034; (0.6153846153846154,0.0603448275862069,0.9396551724137931); [[32,7],[20,109]]; [2,3,5,6]; 0.0010788440704345703
ecoli1.dat; CORRELATION COEF; 4; 336; 0.8154761904761905; 0.7458333333333333; 0.717948717948718; 0.5833333333333334; 0.6436781609195402; (0.5833333333333334,0.09166666666666666,0.9083333333333333); [[28,11],[20,109]]; [1,3,5,6]; 0.0014188289642333984
ecoli2.dat; NO SELECTION; 7; 336; 0.9404761904761905; 0.886240520043337; 0.8076923076923077; 0.8076923076923077; 0.8076923076923077; (0.8076923076923077,0.035211267605633804,0.9647887323943662); [[21,5],[5,137]]; ['all']; 0
ecoli2.dat; ANOVA; 4; 336; 0.9404761904761905; 0.8958333333333334; 0.7692307692307693; 0.8333333333333334; 0.8; (0.8333333333333334,0.041666666666666664,0.9583333333333334); [[20,6],[4,138]]; [0,1,4,6]; 0.0006163120269775391
ecoli2.dat; RELIEF; 4; 336; 0.8988095238095238; 0.8197278911564626; 0.5769230769230769; 0.7142857142857143; 0.6382978723404256; (0.7142857142857143,0.07482993197278912,0.9251700680272109); [[15,11],[6,136]]; [0,1,5,6]; 0.13732433319091797
ecoli2.dat; INFORATION GAIN; 4; 336; 0.9345238095238095; 0.8790209790209791; 0.7692307692307693; 0.8; 0.7843137254901961; (0.8,0.04195804195804196,0.958041958041958); [[20,6],[5,137]]; [0,1,4,5]; 0.023349523544311523
ecoli2.dat; CHI SQUARE; 4; 336; 0.8988095238095238; 0.813343328335832, wilcoxon = 0, original = [], new  = []; 0.6153846153846154; 0.6956521739130435; 0.6530612244897959; (0.6956521739130435,0.06896551724137931,0.9310344827586207); [[16,10],[7,135]]; [0,1,2,6]; 0.0010716915130615234
