dataset,method,num_of_feat,num_of_elems,accuracy,precision,ftp,tpr,f1_score,matrix
MUSHROOM,NO SELECTION,22,4607,0.9819407128986345,1.0,0.0,0.9806114839671887,0.990210843373494,[[2104.     0. ] [  41.6  157.9]]
MUSHROOM,ANOVA,5,4607,0.9808554926846625,0.9992395437262358,0.010088272383354352,0.9801855564361975,0.9896208430417285,[[2.1024e+03 1.6000e+00] [4.2500e+01 1.5700e+02]]
MUSHROOM,RELIEF,5,4607,0.9612329517356588,0.9932034220532319,0.10302593659942363,0.9653531667205617,0.9790802820530841,[[2089.7   14.3] [  75.   124.5]]
MUSHROOM,INFORATION GAIN,5,4607,0.9825050243945095,1.0,0.0,0.9812059879681014,0.9905138525998635,[[2104.     0. ] [  40.3  159.2]]
MUSHROOM,CHI SQUARE,5,4607,0.988148572815651,1.0,0.0,0.9871909163421385,0.9935541756192005,[[2104.     0. ] [  27.3  172.2]]
MUSHROOM,CORRELATION COEF,5,4607,0.9847623080703913,1.0,0.0,0.9835912299565238,0.9917277462232802,[[2104.     0. ] [  35.1  164.4]]
CUSTOM,NO SELECTION,20,99999,0.9866838665573312,0.9985994864783754,0.014074438139493321,0.986758429199992,0.9926436466652229,[[44920.5    63. ] [  602.8  4413.2]]
CUSTOM,ANOVA,5,99999,0.9842918423568472,0.9931063612213368,0.06392759957120475,0.9894725651015421,0.9912861330356963,[[44673.4   310.1] [  475.3  4540.7]]
CUSTOM,RELIEF,5,99999,0.8995529952999061,0.9998488334611579,0.9315068493150684,0.899674349198475,0.9471201581035991,[[4.49767e+04 6.80000e+00] [5.01550e+03 5.00000e-01]]
CUSTOM,INFORATION GAIN,5,99999,0.9916839176783535,0.9959874176086787,0.03638232685640571,0.9947755576920088,0.9953811187956695,[[44803.    180.5] [  235.3  4780.7]]
CUSTOM,CHI SQUARE,5,99999,0.9842558422368448,0.9931574910800626,0.06353728015853356,0.9893832590338633,0.9912667824883012,[[44675.7   307.8] [  479.4  4536.6]]
CUSTOM,CORRELATION COEF,5,99999,0.995225951799036,0.9979414674269454,0.018659949622166244,0.9967560006217111,0.9973483817574885,[[44890.9    92.6] [  146.1  4869.9]]
INSURANCE,NO SELECTION,10,381109,0.8755043831934792,0.9969377898857353,0.7807258310460506,0.8777706219157898,0.9335667331843174,[[1.666875e+05 5.120000e+02] [2.321120e+04 1.438000e+02]]
INSURANCE,ANOVA,5,381109,0.8715501341967766,0.9839455261528893,0.6320610327533025,0.883029999849711,0.930760372281066,[[164515.2   2684.3] [ 21792.4   1562.6]]
INSURANCE,RELIEF,5,381109,0.8755967450861959,0.9969473592923425,0.7615637123246791,0.8778456144083528,0.9336133423022831,[[1.666891e+05 5.104000e+02] [2.319520e+04 1.598000e+02]]
INSURANCE,INFORATION GAIN,5,381109,0.8702476245593346,0.9843922978238571,0.6779414438988907,0.8815496301120698,0.9301368419238287,[[164589.9   2609.6] [ 22115.3   1239.7]]
INSURANCE,CHI SQUARE,5,381109,0.8701578822627247,0.9805095110930356,0.6351693759014541,0.8841400704008491,0.9298344919820977,[[163940.7   3258.8] [ 21483.2   1871.8]]
INSURANCE,CORRELATION COEF,5,381109,0.8715034288186804,0.9835244722621778,0.6290992966109437,0.8832774631705427,0.930709342364716,[[164444.8   2754.7] [ 21730.9   1624.1]]
CREDIT_CARD,NO SELECTION,30,284807,0.9993532463788787,0.9998332835059704,0.11773472429210134,0.9995189947834844,0.999676114442377,[[1.421338e+05 2.370000e+01] [6.840000e+01 1.776000e+02]]
CREDIT_CARD,ANOVA,5,284807,0.9994754343227932,0.9998825246645445,0.08158280410356619,0.9995921203273164,0.9997373014067209,[[1.421408e+05 1.670000e+01] [5.800000e+01 1.880000e+02]]
CREDIT_CARD,RELIEF,5,284807,0.9984579030563898,0.9999655311889981,0.13535911602209943,0.9984919289752632,0.9992281867872326,[[1.421526e+05 4.900000e+00] [2.147000e+02 3.130000e+01]]
CREDIT_CARD,INFORATION GAIN,5,284807,0.9994733276354653,0.9998804143291772,0.08292682926829269,0.9995921194668017,0.9997362461140261,[[1.421405e+05 1.700000e+01] [5.800000e+01 1.880000e+02]]
CREDIT_CARD,CHI SQUARE,5,284807,0.9994241715600097,0.999860014420625,0.09764474975466142,0.9995632902179118,0.9997116303016065,[[1.421376e+05 1.990000e+01] [6.210000e+01 1.839000e+02]]
CREDIT_CARD,CORRELATION COEF,5,284807,0.9988785388467925,0.9998304697254805,0.179182156133829,0.9990468759884444,0.9994385192659616,[[1.421334e+05 2.410000e+01] [1.356000e+02 1.104000e+02]]
ecoli-0_vs_1.dat,NO SELECTION,7,220,0.9645454545454546,0.8987012987012988,0.051724137931034475,1.0,0.9466484268125855,[[34.6  3.9] [ 0.  71.5]]
ecoli-0_vs_1.dat,ANOVA,3,220,0.9727272727272727,0.9324675324675324,0.03527815468113976,0.9889807162534435,0.9598930481283422,[[35.9  2.6] [ 0.4 71.1]]
ecoli-0_vs_1.dat,RELIEF,3,220,0.9709090909090909,0.9168831168831169,0.0428380187416332,1.0,0.9566395663956639,[[35.3  3.2] [ 0.  71.5]]
ecoli-0_vs_1.dat,INFORATION GAIN,3,220,0.9681818181818181,0.9090909090909091,0.04666666666666667,1.0,0.9523809523809523,[[35.   3.5] [ 0.  71.5]]
ecoli-0_vs_1.dat,CHI SQUARE,3,220,0.9709090909090909,0.9298701298701298,0.036635006784260515,0.9862258953168044,0.9572192513368983,[[35.8  2.7] [ 0.5 71. ]]
ecoli-0_vs_1.dat,CORRELATION COEF,3,220,0.9727272727272727,0.9324675324675324,0.03527815468113976,0.9889807162534435,0.9598930481283422,[[35.9  2.6] [ 0.4 71.1]]
ecoli1.dat,NO SELECTION,7,336,0.8869047619047619,0.9505791505791505,0.19814241486068115,0.9071481208548269,0.9283559577677224,[[123.1   6.4] [ 12.6  25.9]]
ecoli1.dat,ANOVA,3,336,0.8482142857142858,0.901930501930502,0.3307291666666667,0.9012345679012346,0.9015824006175223,[[116.8  12.7] [ 12.8  25.7]]
ecoli1.dat,RELIEF,3,336,0.8482142857142858,0.901930501930502,0.3307291666666667,0.9012345679012346,0.9015824006175223,[[116.8  12.7] [ 12.8  25.7]]
ecoli1.dat,INFORATION GAIN,3,336,0.8898809523809523,0.9598455598455599,0.17105263157894737,0.903343023255814,0.9307375514788467,[[124.3   5.2] [ 13.3  25.2]]
ecoli1.dat,CHI SQUARE,3,336,0.8517857142857143,0.8934362934362935,0.33495145631067963,0.9124605678233438,0.9028482247366367,[[115.7  13.8] [ 11.1  27.4]]
ecoli1.dat,CORRELATION COEF,3,336,0.8386904761904761,0.8918918918918919,0.3553299492385787,0.8981337480559876,0.8950019372336303,[[115.5  14. ] [ 13.1  25.4]]
ecoli2.dat,NO SELECTION,7,336,0.9589285714285714,0.9732394366197182,0.14232209737827714,0.9780608634111819,0.9756441934345217,[[138.2   3.8] [  3.1  22.9]]
ecoli2.dat,ANOVA,3,336,0.9023809523809524,0.945774647887324,0.308,0.9391608391608393,0.9424561403508773,[[134.3   7.7] [  8.7  17.3]]
ecoli2.dat,RELIEF,3,336,0.8660714285714286,0.954225352112676,0.3939393939393939,0.8943894389438944,0.9233390119250425,[[135.5   6.5] [ 16.   10. ]]
ecoli2.dat,INFORATION GAIN,3,336,0.9083333333333334,0.9366197183098591,0.3146853146853147,0.9540889526542324,0.945273631840796,[[133.    9. ] [  6.4  19.6]]
ecoli2.dat,CHI SQUARE,3,336,0.9011904761904763,0.9422535211267606,0.31782945736434104,0.940928270042194,0.9415904292751583,[[133.8   8.2] [  8.4  17.6]]
ecoli2.dat,CORRELATION COEF,3,336,0.894047619047619,0.9429577464788733,0.3319672131147541,0.9324512534818943,0.9376750700280112,[[133.9   8.1] [  9.7  16.3]]
ecoli3.dat,NO SELECTION,7,336,0.9291666666666666,0.9727574750830565,0.2971014492753623,0.9494163424124513,0.9609451919921235,[[146.4   4.1] [  7.8   9.7]]
ecoli3.dat,ANOVA,3,336,0.9267857142857144,0.9727574750830565,0.3059701492537313,0.9469598965071152,0.9596853490658801,[[146.4   4.1] [  8.2   9.3]]
ecoli3.dat,RELIEF,3,336,0.8922619047619047,0.9827242524916944,0.5652173913043479,0.905140758873929,0.9423383243071042,[[147.9   2.6] [ 15.5   2. ]]
ecoli3.dat,INFORATION GAIN,3,336,0.9267857142857144,0.9727574750830565,0.3059701492537313,0.9469598965071152,0.9596853490658801,[[146.4   4.1] [  8.2   9.3]]
ecoli3.dat,CHI SQUARE,3,336,0.9267857142857144,0.9727574750830565,0.3059701492537313,0.9469598965071152,0.9596853490658801,[[146.4   4.1] [  8.2   9.3]]
ecoli3.dat,CORRELATION COEF,3,336,0.8916666666666666,0.9840531561461794,0.5853658536585367,0.9035997559487492,0.9421119592875318,[[148.1   2.4] [ 15.8   1.7]]
glass0.dat,NO SELECTION,9,214,0.7738317757009345,0.8388888888888889,0.3411764705882353,0.8273972602739725,0.8331034482758619,[[60.4 11.6] [12.6 22.4]]
