dataset; method; num_of_feat; num_of_elems; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix; scores
INSURANCE; NO SELECTION; 10; 381109; 0.8754893625953798; 0.548994206273754; 0.006251338043245558; 0.22021116138763197; 0.0121575485052877; (0.22021116138763197,0.12222274884012407,0.8777772511598759); [[146,23209],[517,166682]]; ['all']
INSURANCE; ANOVA; 5; 381109; 0.869265405082024; 0.6296198373341245; 0.09835153072147292; 0.3734352137863762; 0.15569714634311665; (0.3734352137863762,0.11419553911812715,0.8858044608818728); [[2297,21058],[3854,163345]]; [1,4,5,6,8]
INSURANCE; RELIEF; 4; 381109; 0.8756835332766565; 0.5563648266324074; 0.00633697281096125; 0.23492063492063492; 0.01234104648738795; (0.23492063492063492,0.12219098165582022,0.8778090183441798); [[148,23207],[482,166717]]; [1,7,8,9]
INSURANCE; INFORATION GAIN; 6; 381109; 0.8693756100632891; 0.6296985511579724; 0.09728109612502676; 0.3736842105263158; 0.15437404450484116; (0.3736842105263158,0.11428710821037111,0.8857128917896289); [[2272,21083],[3808,163391]]; [1,2,4,5,6,8]
INSURANCE; CHI SQUARE; 5; 381109; 0.869265405082024; 0.6296198373341245; 0.09835153072147292; 0.3734352137863762; 0.15569714634311665; (0.3734352137863762,0.11419553911812715,0.8858044608818728); [[2297,21058],[3854,163345]]; [1,4,5,6,8]
INSURANCE; CORRELATION COEF; 5; 381109; 0.8712910775948025; 0.636453893296671; 0.08683365446371227; 0.3879854601109623; 0.14190749422713597; (0.3879854601109623,0.1150776735176202,0.8849223264823798); [[2028,21327],[3199,164000]]; [1,4,5,6,8]
MUSHROOM; NO SELECTION; 22; 4607; 0.9800260529743813; 0.9893023255813953; 0.7688442211055276; 1.0; 0.8693181818181818; (1.0,0.021395348837209303,0.9786046511627907); [[153,46],[0,2104]]; ['all']
MUSHROOM; ANOVA; 18; 4607; 0.9848024316109423; 0.9918186068256194; 0.8241206030150754; 1.0; 0.9035812672176309; (1.0,0.016362786348761104,0.9836372136512389); [[164,35],[0,2104]]; [1,3,4,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21]
MUSHROOM; RELIEF; 1; 4607; 0.995223621363439; 0.9973995271867613; 0.9447236180904522; 1.0; 0.9715762273901808; (1.0,0.005200945626477541,0.9947990543735225); [[188,11],[0,2104]]; [4]
MUSHROOM; INFORATION GAIN; 1; 4607; 0.995223621363439; 0.9973995271867613; 0.9447236180904522; 1.0; 0.9715762273901808; (1.0,0.005200945626477541,0.9947990543735225); [[188,11],[0,2104]]; [4]
MUSHROOM; CHI SQUARE; 4; 4607; 0.9874077290490665; 0.9932020628223159; 0.8542713567839196; 1.0; 0.921409214092141; (1.0,0.013595874355368026,0.986404125644632); [[170,29],[0,2104]]; [3,6,7,18]
MUSHROOM; CORRELATION COEF; 10; 4607; 0.993920972644377; 0.9966949952785646; 0.9296482412060302; 1.0; 0.9635416666666667; (1.0,0.0066100094428706326,0.9933899905571294); [[185,14],[0,2104]]; [4,6,9,11,12,16,18,19,20,21]
CUSTOM; NO SELECTION; 20; 99999; 0.9870597411948239; 0.9876526188915086; 0.8813795853269537; 0.9883746926000447; 0.9318157867003899; (0.9883746926000447,0.013069454817027632,0.9869305451829724); [[4421,595],[52,44931]]; ['all']
CUSTOM; ANOVA; 19; 99999; 0.9876797535950719; 0.9877361130994413; 0.8881578947368421; 0.9878048780487805; 0.9353348729792149; (0.9878048780487805,0.012332651849897777,0.9876673481501023); [[4455,561],[55,44928]]; [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]
CUSTOM; RELIEF; 4; 99999; 0.999079981599632; 0.9980672841870653; 0.9940191387559809; 0.9968012794882047; 0.995408265122779; (0.9968012794882047,0.0006667111140742716,0.9993332888859258); [[4986,30],[16,44967]]; [11,13,15,17]
CUSTOM; INFORATION GAIN; 3; 99999; 0.997939958799176; 0.9952944854698991; 0.9874401913875598; 0.9919887842980172; 0.9897092616645019; (0.9919887842980172,0.0013998133582189042,0.9986001866417811); [[4953,63],[40,44943]]; [11,13,17]
CUSTOM; CHI SQUARE; 19; 99999; 0.9876797535950719; 0.9877361130994413; 0.8881578947368421; 0.9878048780487805; 0.9353348729792149; (0.9878048780487805,0.012332651849897777,0.9876673481501023); [[4455,561],[55,44928]]; [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]
CUSTOM; CORRELATION COEF; 3; 99999; 0.998959979199584; 0.9975580189465971; 0.9938197767145136; 0.9958050339592489; 0.9948114148872481; (0.9958050339592489,0.0006889960660547196,0.9993110039339452); [[4985,31],[21,44962]]; [13,15,17]
CREDIT_CARD; NO SELECTION; 30; 284807; 0.9993890578147933; 0.9455842565456272; 0.7357723577235772; 0.8916256157635468; 0.8062360801781737; (0.8916256157635468,0.0004571026722925457,0.9995428973277074); [[181,65],[22,142135]]; ['all']
CREDIT_CARD; ANOVA; 5; 284807; 0.9995084373222475; 0.9633988393375497; 0.7764227642276422; 0.9271844660194175; 0.8451327433628318; (0.9271844660194175,0.00038678734431809393,0.9996132126556819); [[191,55],[15,142142]]; [11,13,15,17,18]
CREDIT_CARD; RELIEF; 7; 284807; 0.9995014149982795; 0.9611592619726219; 0.7764227642276422; 0.9227053140096618; 0.8432671081677703; (0.9227053140096618,0.0003867900644181271,0.9996132099355819); [[191,55],[16,142141]]; [4,5,11,12,13,15,18]
CREDIT_CARD; INFORATION GAIN; 7; 284807; 0.999536526618119; 0.966163306348; 0.7886178861788617; 0.9326923076923077; 0.854625550660793; (0.9326923076923077,0.00036569499630788706,0.9996343050036921); [[194,52],[14,142143]]; [5,11,12,13,15,17,18]
