dataset; method; num_of_feat; num_of_elems; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix; scores
yeast5.dat; NO SELECTION; 8; 1484; 0.9797843665768194; 0.8763849319404875; 0.45454545454545453; 0.7692307692307693; 0.5714285714285714; (0.7692307692307693,0.01646090534979424,0.9835390946502057); [[10,12],[3,717]]; ['all']
yeast5.dat; ANOVA; 4; 1484; 0.9797843665768194; 0.8460446247464504; 0.5454545454545454; 0.7058823529411765; 0.6153846153846153; (0.7058823529411765,0.013793103448275862,0.9862068965517241); [[12,10],[5,715]]; [0,1,2,3]
yeast5.dat; RELIEF; 4; 1484; 0.9797843665768194; 0.8460446247464504; 0.5454545454545454; 0.7058823529411765; 0.6153846153846153; (0.7058823529411765,0.013793103448275862,0.9862068965517241); [[12,10],[5,715]]; [0,1,2,3]
yeast5.dat; INFORATION GAIN; 4; 1484; 0.9797843665768194; 0.8460446247464504; 0.5454545454545454; 0.7058823529411765; 0.6153846153846153; (0.7058823529411765,0.013793103448275862,0.9862068965517241); [[12,10],[5,715]]; [0,1,2,3]
yeast5.dat; CHI SQUARE; 4; 1484; 0.9797843665768194; 0.8460446247464504; 0.5454545454545454; 0.7058823529411765; 0.6153846153846153; (0.7058823529411765,0.013793103448275862,0.9862068965517241); [[12,10],[5,715]]; [0,1,2,3]
yeast-2_vs_8.dat; NO SELECTION; 8; 482; 0.9626556016597511; 0.98125; 0.1; 1.0; 0.18181818181818182; (1.0,0.0375,0.9625); [[1,9],[0,231]]; ['all']
yeast-2_vs_8.dat; ANOVA; 2; 482; 0.9626556016597511; 0.98125; 0.1; 1.0; 0.18181818181818182; (1.0,0.0375,0.9625); [[1,9],[0,231]]; [2,5]
yeast-2_vs_8.dat; RELIEF; 7; 482; 0.9626556016597511; 0.98125; 0.1; 1.0; 0.18181818181818182; (1.0,0.0375,0.9625); [[1,9],[0,231]]; [0,1,2,3,5,6,7]
yeast-2_vs_8.dat; INFORATION GAIN; 2; 482; 0.9626556016597511; 0.98125; 0.1; 1.0; 0.18181818181818182; (1.0,0.0375,0.9625); [[1,9],[0,231]]; [5,6]
yeast-2_vs_8.dat; CHI SQUARE; 2; 482; 0.9626556016597511; 0.98125; 0.1; 1.0; 0.18181818181818182; (1.0,0.0375,0.9625); [[1,9],[0,231]]; [2,5]
yeast4.dat; NO SELECTION; 8; 1484; 0.9690026954177897; 0.9844384303112315; 0.11538461538461539; 1.0; 0.20689655172413793; (1.0,0.03112313937753721,0.9688768606224628); [[3,23],[0,716]]; ['all']
yeast4.dat; ANOVA; 1; 1484; 0.967654986522911; 0.8594173441734417; 0.11538461538461539; 0.75; 0.19999999999999998; (0.75,0.03116531165311653,0.9688346883468835); [[3,23],[1,715]]; [0]
