dataset; method; num_of_feat; num_of_elems; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix
kr-vs-k-zero_vs_eight.dat; NO SELECTION; 6; 1460; 0.9865753424657534; 0.9804999664523146; 0.28148148148148144; 0.9743589743589743; 0.43678160919540227; (0.9743589743589743,0.01335904145434513,0.9866409585456548); [[3.800e+00,9.700e+00],[1.000e-01,7.164e+02]]
kr-vs-k-zero_vs_eight.dat; ANOVA; 3; 1460; 0.9890410958904109; 0.8660857462709146; 0.6296296296296297; 0.7391304347826086; 0.68; (0.7391304347826086,0.006958942240779402,0.9930410577592206); [[8.5,5.],[3.,713.5]]
kr-vs-k-zero_vs_eight.dat; RELIEF; 3; 1460; 0.9817808219178081; 0.8035861217772902; 0.037037037037037035; 0.625; 0.06993006993006994; (0.625,0.017827756445419635,0.9821722435545803); [[5.000e-01,1.300e+01],[3.000e-01,7.162e+02]]
kr-vs-k-zero_vs_eight.dat; INFORATION GAIN; 3; 1460; 0.9910958904109588; 0.9215277777777777; 0.6296296296296297; 0.85; 0.723404255319149; (0.85,0.006944444444444444,0.9930555555555556); [[8.5,5.],[1.5,715.]]
kr-vs-k-zero_vs_eight.dat; CHI SQUARE; 3; 1460; 0.9890410958904109; 0.8660857462709146; 0.6296296296296297; 0.7391304347826086; 0.68; (0.7391304347826086,0.006958942240779402,0.9930410577592206); [[8.5,5.],[3.,713.5]]
kr-vs-k-zero_vs_eight.dat; CORRELATION COEF; 3; 1460; 0.9806849315068493; 0.6338672993215952; 0.02962962962962963; 0.28571428571428575; 0.05369127516778525; (0.28571428571428575,0.01797968707109525,0.9820203129289047); [[4.000e-01,1.310e+01],[1.000e+00,7.155e+02]]
zoo-3.dat; NO SELECTION; 16; 101; 0.9505882352941175; 0.4752475247524752; 0.0; 0.0; 0.0; (0.0,0.04950495049504951,0.9504950495049505); [[0.,2.5],[0.,48.]]
zoo-3.dat; ANOVA; 3; 101; 0.9505882352941175; 0.4752475247524752; 0.0; 0.0; 0.0; (0.0,0.04950495049504951,0.9504950495049505); [[0.,2.5],[0.,48.]]
zoo-3.dat; RELIEF; 3; 101; 0.9505882352941175; 0.4752475247524752; 0.0; 0.0; 0.0; (0.0,0.04950495049504951,0.9504950495049505); [[0.,2.5],[0.,48.]]
zoo-3.dat; INFORATION GAIN; 3; 101; 0.9505882352941175; 0.4752475247524752; 0.0; 0.0; 0.0; (0.0,0.04950495049504951,0.9504950495049505); [[0.,2.5],[0.,48.]]
zoo-3.dat; CHI SQUARE; 3; 101; 0.9505882352941175; 0.4752475247524752; 0.0; 0.0; 0.0; (0.0,0.04950495049504951,0.9504950495049505); [[0.,2.5],[0.,48.]]
zoo-3.dat; CORRELATION COEF; 3; 101; 0.9505882352941175; 0.4752475247524752; 0.0; 0.0; 0.0; (0.0,0.04950495049504951,0.9504950495049505); [[0.,2.5],[0.,48.]]
