dataset; method; num_of_feat; num_of_elems; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix; scores; time
yeast5.dat; NO SELECTION; 8; 1484; 0.9797843665768194; 0.8763849319404875; 0.45454545454545453; 0.7692307692307693; 0.5714285714285714; (0.7692307692307693,0.01646090534979424,0.9835390946502057); [[10,12],[3,717]]; ['all']; 0
yeast5.dat; ANOVA; 8; 1484; 0.9797843665768194; 0.8763849319404875; 0.45454545454545453; 0.7692307692307693; 0.5714285714285714; (0.7692307692307693,0.01646090534979424,0.9835390946502057); [[10,12],[3,717]]; [0,1,2,3,4,5,6,7]; 0.0008950233459472656
yeast5.dat; RELIEF; 8; 1484; 0.9797843665768194; 0.8763849319404875; 0.45454545454545453; 0.7692307692307693; 0.5714285714285714; (0.7692307692307693,0.01646090534979424,0.9835390946502057); [[10,12],[3,717]]; [0,1,2,3,4,5,6,7]; 4.167937517166138
yeast5.dat; INFORATION GAIN; 8; 1484; 0.9797843665768194; 0.8763849319404875; 0.45454545454545453; 0.7692307692307693; 0.5714285714285714; (0.7692307692307693,0.01646090534979424,0.9835390946502057); [[10,12],[3,717]]; [0,1,2,3,4,5,6,7]; 0.06792354583740234
yeast5.dat; CHI SQUARE; 8; 1484; 0.9797843665768194; 0.8763849319404875; 0.45454545454545453; 0.7692307692307693; 0.5714285714285714; (0.7692307692307693,0.01646090534979424,0.9835390946502057); [[10,12],[3,717]]; [0,1,2,3,4,5,6,7]; 0.0018384456634521484
yeast5.dat; CORRELATION COEF; 7; 1484; 0.967654986522911; 0.6530797101449275; 0.09090909090909091; 0.3333333333333333; 0.14285714285714288; (0.3333333333333333,0.02717391304347826,0.9728260869565217); [[2,20],[4,716]]; [1,2,3,4,5,6,7]; 0.0016207695007324219
yeast-2_vs_8.dat; NO SELECTION; 8; 482; 0.9626556016597511; 0.98125; 0.1; 1.0; 0.18181818181818182; (1.0,0.0375,0.9625); [[1,9],[0,231]]; ['all']; 0
yeast-2_vs_8.dat; ANOVA; 8; 482; 0.9626556016597511; 0.98125; 0.1; 1.0; 0.18181818181818182; (1.0,0.0375,0.9625); [[1,9],[0,231]]; [0,1,2,3,4,5,6,7]; 0.0006949901580810547
yeast-2_vs_8.dat; RELIEF; 8; 482; 0.9626556016597511; 0.98125; 0.1; 1.0; 0.18181818181818182; (1.0,0.0375,0.9625); [[1,9],[0,231]]; [0,1,2,3,4,5,6,7]; 0.3476569652557373
yeast-2_vs_8.dat; INFORATION GAIN; 8; 482; 0.9626556016597511; 0.98125; 0.1; 1.0; 0.18181818181818182; (1.0,0.0375,0.9625); [[1,9],[0,231]]; [0,1,2,3,4,5,6,7]; 0.03396129608154297
yeast-2_vs_8.dat; CHI SQUARE; 8; 482; 0.9626556016597511; 0.98125; 0.1; 1.0; 0.18181818181818182; (1.0,0.0375,0.9625); [[1,9],[0,231]]; [0,1,2,3,4,5,6,7]; 0.0011723041534423828
yeast-2_vs_8.dat; CORRELATION COEF; 7; 482; 0.966804979253112; 0.9832635983263598; 0.2; 1.0; 0.33333333333333337; (1.0,0.03347280334728033,0.9665271966527197); [[2,8],[0,231]]; [1,2,3,4,5,6,7]; 0.0014727115631103516
yeast4.dat; NO SELECTION; 8; 1484; 0.9690026954177897; 0.9844384303112315; 0.11538461538461539; 1.0; 0.20689655172413793; (1.0,0.03112313937753721,0.9688768606224628); [[3,23],[0,716]]; ['all']; 0
yeast4.dat; ANOVA; 8; 1484; 0.9690026954177897; 0.9844384303112315; 0.11538461538461539; 1.0; 0.20689655172413793; (1.0,0.03112313937753721,0.9688768606224628); [[3,23],[0,716]]; [0,1,2,3,4,5,6,7]; 0.0008778572082519531
