dataset; method; num_of_feat; num_of_elems; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix; scores; time
kr-vs-k-zero_vs_eight.dat; NO SELECTION; 6; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; ['all']; 0
kr-vs-k-zero_vs_eight.dat; ANOVA; 6; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; [0,1,2,3,4,5]; 0.0009202957153320312
kr-vs-k-zero_vs_eight.dat; RELIEF; 6; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; [0,1,2,3,4,5]; 2.8531992435455322
kr-vs-k-zero_vs_eight.dat; INFORATION GAIN; 6; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; [0,1,2,3,4,5]; 0.05910015106201172
kr-vs-k-zero_vs_eight.dat; CHI SQUARE; 6; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; [0,1,2,3,4,5]; 0.00182342529296875
kr-vs-k-zero_vs_eight.dat; CORRELATION COEF; 5; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; [1,2,3,4,5]; 0.0014100074768066406
zoo-3.dat; NO SELECTION; 16; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; ['all']; 0
zoo-3.dat; ANOVA; 16; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]; 0.0006377696990966797
zoo-3.dat; RELIEF; 16; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]; 0.028038740158081055
zoo-3.dat; INFORATION GAIN; 16; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]; 0.0327146053314209
