dataset; method; num_of_feat; wilcoxon_p; f1_results; scores
ecoli-0-6-7_vs_5.dat; NO SELECTION; 6; 0; [0.7499999999999999,0.0,0.4615384615384615,0.0,0.0]; ['all']
ecoli-0-6-7_vs_5.dat; ANOVA; 4; 0; [0.7499999999999999,0.0,0.4615384615384615,0.0,0.0]; [0,1,3,5]
ecoli-0-6-7_vs_5.dat; RELIEF; 4; 0; [0.7499999999999999,0.0,0.4615384615384615,0.0,0.0]; [0,1,3,5]
ecoli-0-6-7_vs_5.dat; INFORATION GAIN; 5; 0; [0.7499999999999999,0.0,0.4615384615384615,0.0,0.0]; [0,1,2,3,5]
ecoli-0-6-7_vs_5.dat; CHI SQUARE; 4; 0; [0.7499999999999999,0.0,0.4615384615384615,0.0,0.0]; [0,1,3,5]
ecoli-0-6-7_vs_5.dat; CORRELATION COEF; 5; 0; [0.7499999999999999,0.0,0.4615384615384615,0.0,0.0]; [1,2,3,4,5]
ecoli-0-2-3-4_vs_5.dat; NO SELECTION; 7; 0; [0.588235294117647,0.0,0.8421052631578948,0.0,0.0]; ['all']
ecoli-0-2-3-4_vs_5.dat; ANOVA; 6; 0; [0.588235294117647,0.0,0.8421052631578948,0.0,0.0]; [0,1,3,4,5,6]
ecoli-0-2-3-4_vs_5.dat; RELIEF; 5; 0; [0.588235294117647,0.0,0.8421052631578948,0.0,0.0]; [0,1,4,5,6]
ecoli-0-2-3-4_vs_5.dat; INFORATION GAIN; 6; 0; [0.588235294117647,0.0,0.8421052631578948,0.0,0.0]; [0,1,2,3,4,6]
ecoli-0-2-3-4_vs_5.dat; CHI SQUARE; 6; 0; [0.588235294117647,0.0,0.8421052631578948,0.0,0.0]; [0,1,3,4,5,6]
ecoli-0-2-3-4_vs_5.dat; CORRELATION COEF; 6; 0; [0.588235294117647,0.0,0.8421052631578948,0.0,0.0]; [1,2,3,4,5,6]
ecoli-0-6-7_vs_3-5.dat; NO SELECTION; 7; 0; [0.5000000000000001,0.0,0.3076923076923077,0.0,0.0]; ['all']
ecoli-0-6-7_vs_3-5.dat; ANOVA; 6; 0; [0.5000000000000001,0.0,0.3076923076923077,0.0,0.0]; [0,1,2,4,5,6]
ecoli-0-6-7_vs_3-5.dat; RELIEF; 5; 0; [0.5000000000000001,0.0,0.3076923076923077,0.0,0.0]; [0,1,4,5,6]
ecoli-0-6-7_vs_3-5.dat; INFORATION GAIN; 6; 0; [0.5000000000000001,0.0,0.3076923076923077,0.0,0.0]; [0,1,2,3,4,6]
ecoli-0-6-7_vs_3-5.dat; CHI SQUARE; 5; 0; [0.5000000000000001,0.0,0.3076923076923077,0.0,0.0]; [0,1,4,5,6]
ecoli-0-6-7_vs_3-5.dat; CORRELATION COEF; 5; 0; [0.5000000000000001,0.0,0.3076923076923077,0.0,0.0]; [1,2,4,5,6]
ecoli-0-2-6-7_vs_3-5.dat; NO SELECTION; 7; 0; [0.42857142857142855,0.0,0.42857142857142855,0.0,0.0]; ['all']
ecoli-0-2-6-7_vs_3-5.dat; ANOVA; 6; 0; [0.42857142857142855,0.0,0.42857142857142855,0.0,0.0]; [0,1,2,4,5,6]
ecoli-0-2-6-7_vs_3-5.dat; RELIEF; 5; 0; [0.42857142857142855,0.0,0.42857142857142855,0.0,0.0]; [0,1,4,5,6]
ecoli-0-2-6-7_vs_3-5.dat; INFORATION GAIN; 6; 0; [0.42857142857142855,0.0,0.42857142857142855,0.0,0.0]; [0,1,2,3,4,6]
ecoli-0-2-6-7_vs_3-5.dat; CHI SQUARE; 5; 0; [0.42857142857142855,0.0,0.42857142857142855,0.0,0.0]; [0,1,2,4,5]
ecoli-0-2-6-7_vs_3-5.dat; CORRELATION COEF; 5; 0; [0.42857142857142855,0.0,0.42857142857142855,0.0,0.0]; [1,2,4,5,6]
yeast-0-2-5-6_vs_3-7-8-9.dat; NO SELECTION; 8; 0; [0.5194805194805194,0.0,0.4675324675324675,0.3125,0.26086956521739124]; ['all']
yeast-0-2-5-6_vs_3-7-8-9.dat; ANOVA; 4; 0.06788915486182899; [0.5679012345679013,0.0,0.5301204819277109,0.5555555555555556,0.38461538461538464]; [0,1,4,5]
yeast-0-2-5-6_vs_3-7-8-9.dat; RELIEF; 1; 0.06788915486182899; [0.0,0.0,0.0,0.0,0.0]; [3]
yeast-0-2-5-6_vs_3-7-8-9.dat; INFORATION GAIN; 5; 0.06788915486182899; [0.575,0.0,0.5238095238095238,0.4444444444444444,0.4800000000000001]; [0,1,2,5,7]
yeast-0-2-5-6_vs_3-7-8-9.dat; CHI SQUARE; 1; 0.06788915486182899; [0.22950819672131148,0.0,0.1724137931034483,0.0,0.0]; [5]
yeast-0-2-5-6_vs_3-7-8-9.dat; CORRELATION COEF; 3; 0.06788915486182899; [0.4675324675324675,0.0,0.3561643835616438,0.14285714285714285,0.0]; [1,2,6]
ecoli-0-1-4-7_vs_5-6.dat; NO SELECTION; 6; 0; [0.375,0.0,0.2666666666666667,0.0,0.0]; ['all']
ecoli-0-1-4-7_vs_5-6.dat; ANOVA; 5; 0; [0.375,0.0,0.2666666666666667,0.0,0.0]; [0,1,2,3,5]
ecoli-0-1-4-7_vs_5-6.dat; RELIEF; 5; 0; [0.375,0.0,0.2666666666666667,0.0,0.0]; [0,1,3,4,5]
ecoli-0-1-4-7_vs_5-6.dat; INFORATION GAIN; 5; 0; [0.375,0.0,0.2666666666666667,0.0,0.0]; [0,1,3,4,5]
ecoli-0-1-4-7_vs_5-6.dat; CHI SQUARE; 5; 0; [0.375,0.0,0.2666666666666667,0.0,0.0]; [0,1,3,4,5]
ecoli-0-1-4-7_vs_5-6.dat; CORRELATION COEF; 5; 0; [0.375,0.0,0.2666666666666667,0.0,0.0]; [1,2,3,4,5]
glass-0-1-4-6_vs_2.dat; NO SELECTION; 9; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
glass-0-1-4-6_vs_2.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [3]
glass-0-1-4-6_vs_2.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
glass-0-1-4-6_vs_2.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [8]
glass-0-1-4-6_vs_2.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
glass-0-1-4-6_vs_2.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
ecoli-0-1_vs_5.dat; NO SELECTION; 6; 0; [0.8235294117647058,0.0,0.8235294117647058,0.0,0.0]; ['all']
ecoli-0-1_vs_5.dat; ANOVA; 5; 0; [0.8235294117647058,0.0,0.8235294117647058,0.0,0.0]; [0,1,3,4,5]
ecoli-0-1_vs_5.dat; RELIEF; 5; 0; [0.8235294117647058,0.0,0.8235294117647058,0.0,0.0]; [0,1,3,4,5]
ecoli-0-1_vs_5.dat; INFORATION GAIN; 5; 0; [0.8235294117647058,0.0,0.8235294117647058,0.0,0.0]; [0,1,2,3,5]
ecoli-0-1_vs_5.dat; CHI SQUARE; 5; 0; [0.8235294117647058,0.0,0.8235294117647058,0.0,0.0]; [0,1,3,4,5]
ecoli-0-1_vs_5.dat; CORRELATION COEF; 4; 0; [0.8235294117647058,0.0,0.8235294117647058,0.0,0.0]; [1,3,4,5]
glass-0-4_vs_5.dat; NO SELECTION; 9; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
glass-0-4_vs_5.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
glass-0-4_vs_5.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
glass-0-4_vs_5.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [5]
glass-0-4_vs_5.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
glass-0-4_vs_5.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [5]
ecoli-0-3-4-6_vs_5.dat; NO SELECTION; 7; 0; [0.47058823529411764,0.0,0.9473684210526316,0.0,0.0]; ['all']
