dataset; method; num_of_feat; wilcoxon_p; f1_results; scores
kr-vs-k-zero_vs_eight.dat; NO SELECTION; 6; 0; [0.5263157894736842,0.0,0.35294117647058826,0.0,0.0]; ['all']
kr-vs-k-zero_vs_eight.dat; ANOVA; 5; 0; [0.5263157894736842,0.0,0.35294117647058826,0.0,0.0]; [0,1,2,4,5]
kr-vs-k-zero_vs_eight.dat; RELIEF; 5; 0; [0.5263157894736842,0.0,0.35294117647058826,0.0,0.0]; [1,2,3,4,5]
kr-vs-k-zero_vs_eight.dat; INFORATION GAIN; 5; 0; [0.5263157894736842,0.0,0.35294117647058826,0.0,0.0]; [0,2,3,4,5]
kr-vs-k-zero_vs_eight.dat; CHI SQUARE; 5; 0; [0.5263157894736842,0.0,0.35294117647058826,0.0,0.0]; [0,1,2,4,5]
kr-vs-k-zero_vs_eight.dat; CORRELATION COEF; 5; 0; [0.5263157894736842,0.0,0.35294117647058826,0.0,0.0]; [1,2,3,4,5]
zoo-3.dat; NO SELECTION; 16; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
zoo-3.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [0]
zoo-3.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [3]
zoo-3.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [12]
zoo-3.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [0]
zoo-3.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [3]
kr-vs-k-one_vs_fifteen.dat; NO SELECTION; 6; 0; [0.8,0.0,0.9166666666666666,0.7499999999999999,0.5555555555555556]; ['all']
kr-vs-k-one_vs_fifteen.dat; ANOVA; 1; 0.06788915486182899; [0.4081632653061224,0.0,0.5283018867924528,0.0,0.0]; [1]
kr-vs-k-one_vs_fifteen.dat; RELIEF; 3; 0.06788915486182899; [0.9600000000000001,0.0,1.0,0.888888888888889,0.9600000000000001]; [1,4,5]
kr-vs-k-one_vs_fifteen.dat; INFORATION GAIN; 3; 0.06788915486182899; [0.9600000000000001,0.0,1.0,0.888888888888889,0.9600000000000001]; [1,4,5]
kr-vs-k-one_vs_fifteen.dat; CHI SQUARE; 1; 0.06788915486182899; [0.4081632653061224,0.0,0.5283018867924528,0.0,0.0]; [1]
kr-vs-k-one_vs_fifteen.dat; CORRELATION COEF; 4; 0.06788915486182899; [0.761904761904762,0.0,0.835820895522388,0.7096774193548387,0.375]; [2,3,4,5]
winequality-red-4.dat; NO SELECTION; 11; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
winequality-red-4.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
winequality-red-4.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
winequality-red-4.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [0]
winequality-red-4.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
winequality-red-4.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
dermatology-6.dat; NO SELECTION; 34; 0; [0.75,0.0,0.8695652173913044,0.0,0.0]; ['all']
dermatology-6.dat; ANOVA; 13; 0; [0.75,0.0,0.8695652173913044,0.0,0.0]; [3,4,6,8,10,13,19,20,25,27,29,30,33]
dermatology-6.dat; RELIEF; 24; 0; [0.75,0.0,0.8695652173913044,0.0,0.0]; [2,3,5,6,7,8,9,10,11,15,17,18,19,20,21,24,25,26,27,28,29,30,32,33]
dermatology-6.dat; INFORATION GAIN; 19; 0; [0.75,0.0,0.8695652173913044,0.0,0.0]; [0,1,3,5,6,8,10,13,18,19,20,21,25,27,29,30,31,32,33]
dermatology-6.dat; CHI SQUARE; 16; 0; [0.75,0.0,0.8695652173913044,0.0,0.0]; [3,4,6,8,10,13,19,20,21,25,26,27,29,30,32,33]
dermatology-6.dat; CORRELATION COEF; 21; 0; [0.75,0.0,0.8695652173913044,0.0,0.0]; [5,7,9,11,13,15,18,19,20,21,22,23,24,25,26,27,28,29,30,32,33]
shuttle-2_vs_5.dat; NO SELECTION; 9; 0; [0.9411764705882353,0.0,0.9130434782608695,0.23529411764705882,0.26666666666666666]; ['all']
shuttle-2_vs_5.dat; ANOVA; 8; 0; [0.9411764705882353,0.0,0.9130434782608695,0.23529411764705882,0.26666666666666666]; [0,1,2,3,4,6,7,8]
shuttle-2_vs_5.dat; RELIEF; 8; 0; [0.9411764705882353,0.0,0.9130434782608695,0.23529411764705882,0.26666666666666666]; [0,1,2,4,5,6,7,8]
shuttle-2_vs_5.dat; INFORATION GAIN; 7; 0; [0.9411764705882353,0.0,0.9130434782608695,0.23529411764705882,0.26666666666666666]; [0,1,2,4,6,7,8]
shuttle-2_vs_5.dat; CHI SQUARE; 7; 0; [0.9411764705882353,0.0,0.9130434782608695,0.23529411764705882,0.26666666666666666]; [0,1,2,4,6,7,8]
shuttle-2_vs_5.dat; CORRELATION COEF; 1; 0.06788915486182899; [0.6341463414634146,0.0,0.6829268292682927,0.0,0.0]; [7]
winequality-white-3-9_vs_5.dat; NO SELECTION; 11; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
winequality-white-3-9_vs_5.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [10]
winequality-white-3-9_vs_5.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
winequality-white-3-9_vs_5.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [8]
winequality-white-3-9_vs_5.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [10]
winequality-white-3-9_vs_5.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
winequality-red-3_vs_5.dat; NO SELECTION; 11; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
winequality-red-3_vs_5.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
winequality-red-3_vs_5.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
winequality-red-3_vs_5.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
winequality-red-3_vs_5.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
winequality-red-3_vs_5.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
winequality-red-8_vs_6-7.dat; NO SELECTION; 11; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
winequality-red-8_vs_6-7.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [8]
winequality-red-8_vs_6-7.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
winequality-red-8_vs_6-7.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [4]
winequality-red-8_vs_6-7.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
winequality-red-8_vs_6-7.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [8]
kddcup-rootkit-imap_vs_back.dat; NO SELECTION; 41; 0; [0.9523809523809523,0.0,0.9523809523809523,0.8000000000000002,0.0]; ['all']
kddcup-rootkit-imap_vs_back.dat; ANOVA; 22; 0; [0.9523809523809523,0.0,0.9523809523809523,0.8000000000000002,0.0]; [0,1,2,4,5,9,11,12,15,22,23,24,25,31,32,33,34,35,36,37,38,40]
kddcup-rootkit-imap_vs_back.dat; RELIEF; 2; 0; [0.9523809523809523,0.0,0.9523809523809523,0.8000000000000002,0.0]; [4,5]
kddcup-rootkit-imap_vs_back.dat; INFORATION GAIN; 7; 0; [0.9523809523809523,0.0,0.9523809523809523,0.8000000000000002,0.0]; [2,3,4,5,11,28,33]
kddcup-rootkit-imap_vs_back.dat; CHI SQUARE; 23; 0; [0.9523809523809523,0.0,0.9523809523809523,0.8000000000000002,0.0]; [0,1,2,4,5,9,11,12,15,22,23,24,25,27,31,32,34,35,36,37,38,39,40]
kddcup-rootkit-imap_vs_back.dat; CORRELATION COEF; 28; 0; [0.9523809523809523,0.0,0.9523809523809523,0.8000000000000002,0.0]; [1,2,3,4,5,9,11,12,15,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40]
kddcup-guess_passwd_vs_satan.dat; NO SELECTION; 41; 0; [0.9818181818181818,0.0,1.0,1.0,0.9]; ['all']
kddcup-guess_passwd_vs_satan.dat; ANOVA; 6; 0; [0.9818181818181818,0.0,1.0,1.0,0.9]; [4,5,9,10,31,33]
kddcup-guess_passwd_vs_satan.dat; RELIEF; 1; 0.06788915486182899; [0.5777777777777777,0.0,0.870967741935484,0.896551724137931,0.782608695652174]; [22]
kddcup-guess_passwd_vs_satan.dat; INFORATION GAIN; 9; 0; [0.9818181818181818,0.0,1.0,1.0,0.9]; [3,4,5,10,31,33,34,38,40]
kddcup-guess_passwd_vs_satan.dat; CHI SQUARE; 12; 0; [0.9818181818181818,0.0,1.0,1.0,0.9]; [4,5,9,10,22,28,29,31,32,33,34,36]
kddcup-guess_passwd_vs_satan.dat; CORRELATION COEF; 21; 0; [0.9818181818181818,0.0,1.0,1.0,0.9]; [3,4,5,9,10,22,24,26,27,28,29,31,32,33,34,35,36,37,38,39,40]
kddcup-buffer_overflow_vs_back.dat; NO SELECTION; 41; 0; [0.967741935483871,0.0,0.8571428571428571,1.0,0.0]; ['all']
kddcup-buffer_overflow_vs_back.dat; ANOVA; 1; 0; [0.967741935483871,0.0,0.8571428571428571,1.0,0.0]; [4]
kddcup-buffer_overflow_vs_back.dat; RELIEF; 1; 0; [0.967741935483871,0.0,0.8571428571428571,1.0,0.0]; [4]
kddcup-buffer_overflow_vs_back.dat; INFORATION GAIN; 2; 0; [0.967741935483871,0.0,0.8571428571428571,1.0,0.0]; [4,9]
kddcup-buffer_overflow_vs_back.dat; CHI SQUARE; 8; 0; [0.967741935483871,0.0,0.8571428571428571,1.0,0.0]; [0,4,13,15,16,24,35,36]
kddcup-buffer_overflow_vs_back.dat; CORRELATION COEF; 15; 0; [0.967741935483871,0.0,0.8571428571428571,1.0,0.0]; [2,12,13,15,16,24,25,26,27,28,30,32,35,38,40]
abalone-19_vs_10-11-12-13.dat; NO SELECTION; 8; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
abalone-19_vs_10-11-12-13.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [3]
abalone-19_vs_10-11-12-13.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [4]
abalone-19_vs_10-11-12-13.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [5]
abalone-19_vs_10-11-12-13.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
abalone-19_vs_10-11-12-13.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
abalone-17_vs_7-8-9-10.dat; NO SELECTION; 8; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
abalone-17_vs_7-8-9-10.dat; ANOVA; 2; 0; [0.0,0.0,0.0,0.0,0.0]; [4,7]
abalone-17_vs_7-8-9-10.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [4]
abalone-17_vs_7-8-9-10.dat; INFORATION GAIN; 3; 0; [0.0,0.0,0.0,0.0,0.0]; [1,3,7]
abalone-17_vs_7-8-9-10.dat; CHI SQUARE; 2; 0; [0.0,0.0,0.0,0.0,0.0]; [4,7]
abalone-17_vs_7-8-9-10.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
poker-8-9_vs_6.dat; NO SELECTION; 10; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
poker-8-9_vs_6.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
poker-8-9_vs_6.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [5]
poker-8-9_vs_6.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
poker-8-9_vs_6.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
poker-8-9_vs_6.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [9]
shuttle-6_vs_2-3.dat; NO SELECTION; 9; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
shuttle-6_vs_2-3.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
shuttle-6_vs_2-3.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
shuttle-6_vs_2-3.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
shuttle-6_vs_2-3.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
shuttle-6_vs_2-3.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
kddcup-land_vs_portsweep.dat; NO SELECTION; 41; 0; [1.0,0.0,0.9523809523809523,0.8333333333333333,0.0]; ['all']
kddcup-land_vs_portsweep.dat; ANOVA; 21; 0; [1.0,0.0,0.9523809523809523,0.8333333333333333,0.0]; [2,3,6,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40]
kddcup-land_vs_portsweep.dat; RELIEF; 2; 0; [1.0,0.0,0.9523809523809523,0.8333333333333333,0.0]; [0,31]
kddcup-land_vs_portsweep.dat; INFORATION GAIN; 19; 0; [1.0,0.0,0.9523809523809523,0.8333333333333333,0.0]; [1,2,3,6,22,23,24,25,26,27,28,30,31,33,34,35,37,39,40]
kddcup-land_vs_portsweep.dat; CHI SQUARE; 21; 0; [1.0,0.0,0.9523809523809523,0.8333333333333333,0.0]; [0,2,3,6,22,23,24,25,26,27,29,30,31,32,33,34,36,37,38,39,40]
kddcup-land_vs_portsweep.dat; CORRELATION COEF; 24; 0; [1.0,0.0,0.9523809523809523,0.8333333333333333,0.0]; [2,3,4,6,9,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40]
poker-9_vs_7.dat; NO SELECTION; 10; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
poker-9_vs_7.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [5]
poker-9_vs_7.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
poker-9_vs_7.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [3]
poker-9_vs_7.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [5]
poker-9_vs_7.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [5]
abalone-20_vs_8-9-10.dat; NO SELECTION; 8; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
abalone-20_vs_8-9-10.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
abalone-20_vs_8-9-10.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [4]
abalone-20_vs_8-9-10.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [3]
abalone-20_vs_8-9-10.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
abalone-20_vs_8-9-10.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
lymphography-normal-fibrosis.dat; NO SELECTION; 18; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
lymphography-normal-fibrosis.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [3]
lymphography-normal-fibrosis.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [8]
lymphography-normal-fibrosis.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [3]
lymphography-normal-fibrosis.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [3]
lymphography-normal-fibrosis.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [8]
abalone-3_vs_11.dat; NO SELECTION; 8; 0; [0.7692307692307693,0.0,0.0,0.0,0.0]; ['all']
abalone-3_vs_11.dat; ANOVA; 7; 0; [0.7692307692307693,0.0,0.0,0.0,0.0]; [1,2,3,4,5,6,7]
abalone-3_vs_11.dat; RELIEF; 4; 0; [0.7692307692307693,0.0,0.0,0.0,0.0]; [0,1,4,5]
abalone-3_vs_11.dat; INFORATION GAIN; 7; 0; [0.7692307692307693,0.0,0.0,0.0,0.0]; [1,2,3,4,5,6,7]
abalone-3_vs_11.dat; CHI SQUARE; 7; 0; [0.7692307692307693,0.0,0.0,0.0,0.0]; [1,2,3,4,5,6,7]
abalone-3_vs_11.dat; CORRELATION COEF; 7; 0; [0.7692307692307693,0.0,0.0,0.0,0.0]; [1,2,3,4,5,6,7]
flare-F.dat; NO SELECTION; 11; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
flare-F.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
flare-F.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [0]
flare-F.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
flare-F.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
flare-F.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
winequality-white-3_vs_7.dat; NO SELECTION; 11; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
winequality-white-3_vs_7.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
winequality-white-3_vs_7.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
winequality-white-3_vs_7.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [5]
winequality-white-3_vs_7.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
winequality-white-3_vs_7.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [10]
winequality-red-8_vs_6.dat; NO SELECTION; 11; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
winequality-red-8_vs_6.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [10]
winequality-red-8_vs_6.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
winequality-red-8_vs_6.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [4]
winequality-red-8_vs_6.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [10]
winequality-red-8_vs_6.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [8]
kddcup-land_vs_satan.dat; NO SELECTION; 41; 0; [0.9565217391304348,0.0,0.9565217391304348,0.0,0.0]; ['all']
kddcup-land_vs_satan.dat; ANOVA; 27; 0; [0.9565217391304348,0.0,0.9565217391304348,0.0,0.0]; [0,1,2,3,4,5,6,11,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40]
kddcup-land_vs_satan.dat; RELIEF; 22; 0; [0.9565217391304348,0.0,0.9565217391304348,0.0,0.0]; [2,3,6,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40]
kddcup-land_vs_satan.dat; INFORATION GAIN; 27; 0; [0.9565217391304348,0.0,0.9565217391304348,0.0,0.0]; [1,2,3,5,6,9,13,16,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40]
kddcup-land_vs_satan.dat; CHI SQUARE; 27; 0; [0.9565217391304348,0.0,0.9565217391304348,0.0,0.0]; [0,1,2,3,4,5,6,11,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40]
kddcup-land_vs_satan.dat; CORRELATION COEF; 26; 0; [0.9565217391304348,0.0,0.9565217391304348,0.0,0.0]; [1,2,3,4,5,6,11,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40]
abalone-21_vs_8.dat; NO SELECTION; 8; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
abalone-21_vs_8.dat; ANOVA; 7; 0; [0.0,0.0,0.0,0.0,0.0]; [1,2,3,4,5,6,7]
abalone-21_vs_8.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [0]
abalone-21_vs_8.dat; INFORATION GAIN; 7; 0; [0.0,0.0,0.0,0.0,0.0]; [1,2,3,4,5,6,7]
abalone-21_vs_8.dat; CHI SQUARE; 7; 0; [0.0,0.0,0.0,0.0,0.0]; [0,1,2,4,5,6,7]
abalone-21_vs_8.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
kr-vs-k-zero-one_vs_draw.dat; NO SELECTION; 6; 0; [0.8631578947368421,0.0,0.9072164948453608,0.7906976744186047,0.5217391304347826]; ['all']
kr-vs-k-zero-one_vs_draw.dat; ANOVA; 1; 0.06788915486182899; [0.0,0.0,0.0,0.0,0.0]; [5]
kr-vs-k-zero-one_vs_draw.dat; RELIEF; 1; 0.06788915486182899; [0.0,0.0,0.0,0.0,0.0]; [5]
kr-vs-k-zero-one_vs_draw.dat; INFORATION GAIN; 1; 0.06788915486182899; [0.0,0.0,0.0,0.0,0.0]; [5]
kr-vs-k-zero-one_vs_draw.dat; CHI SQUARE; 1; 0.06788915486182899; [0.0,0.0,0.0,0.0,0.0]; [5]
kr-vs-k-zero-one_vs_draw.dat; CORRELATION COEF; 1; 0.06788915486182899; [0.0,0.0,0.0,0.0,0.0]; [4]
poker-8_vs_6.dat; NO SELECTION; 10; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
poker-8_vs_6.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [5]
poker-8_vs_6.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [5]
poker-8_vs_6.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [9]
poker-8_vs_6.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [5]
poker-8_vs_6.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [9]
winequality-white-9_vs_4.dat; NO SELECTION; 11; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
winequality-white-9_vs_4.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [10]
winequality-white-9_vs_4.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
winequality-white-9_vs_4.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [10]
winequality-white-9_vs_4.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [10]
winequality-white-9_vs_4.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [10]
kr-vs-k-zero_vs_fifteen.dat; NO SELECTION; 6; 0; [0.761904761904762,0.0,0.7000000000000001,0.0,0.0]; ['all']
kr-vs-k-zero_vs_fifteen.dat; ANOVA; 3; 0; [0.761904761904762,0.0,0.7000000000000001,0.0,0.0]; [1,4,5]
kr-vs-k-zero_vs_fifteen.dat; RELIEF; 2; 0; [0.761904761904762,0.0,0.7000000000000001,0.0,0.0]; [4,5]
kr-vs-k-zero_vs_fifteen.dat; INFORATION GAIN; 2; 0; [0.761904761904762,0.0,0.7000000000000001,0.0,0.0]; [4,5]
kr-vs-k-zero_vs_fifteen.dat; CHI SQUARE; 3; 0; [0.761904761904762,0.0,0.7000000000000001,0.0,0.0]; [1,4,5]
kr-vs-k-zero_vs_fifteen.dat; CORRELATION COEF; 1; 0; [0.761904761904762,0.0,0.7000000000000001,0.0,0.0]; [4]
kr-vs-k-three_vs_eleven.dat; NO SELECTION; 6; 0; [0.9743589743589743,0.0,0.9629629629629629,0.8947368421052632,0.5555555555555556]; ['all']
kr-vs-k-three_vs_eleven.dat; ANOVA; 1; 0.06788915486182899; [0.0,0.0,0.0,0.0,0.0]; [5]
kr-vs-k-three_vs_eleven.dat; RELIEF; 1; 0.06788915486182899; [0.0,0.0,0.0,0.0,0.0]; [5]
kr-vs-k-three_vs_eleven.dat; INFORATION GAIN; 1; 0.06788915486182899; [0.0,0.0,0.0,0.0,0.0]; [5]
kr-vs-k-three_vs_eleven.dat; CHI SQUARE; 1; 0.06788915486182899; [0.0,0.0,0.0,0.0,0.0]; [5]
kr-vs-k-three_vs_eleven.dat; CORRELATION COEF; 1; 0.06788915486182899; [0.0,0.0,0.0,0.0,0.0]; [1]
poker-8-9_vs_5.dat; NO SELECTION; 10; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
